,AAPL,AMZN,GOOGL,META,MSFT,NVDA,QQQ,SPY,TLT,TSLA
2018-01-03,-0.0001739332920351888,0.012775310383486449,0.017060999096224272,0.017914182341459695,0.004653646332185346,0.06581411453016317,0.009716648867369448,0.006325282572999358,0.004781021765744464,-0.010233112708571857
2018-01-04,0.004644902588465838,0.004476012896857506,0.0038844229481034276,-0.0018411433626027707,0.008801781971014,0.005271466259774593,0.0017497906065799818,0.004214428934015135,-0.00015838431144776788,-0.008289977599700404
2018-01-05,0.011385408806241504,0.016162516530176196,0.013260311108487022,0.01367114988165552,0.012398211997583397,0.008474119389730417,0.010042968415784115,0.006664580348452631,-0.002855660909771185,0.006229740634655645
2018-01-08,-0.003714397935931646,0.014424678832250848,0.0035305363542774693,0.007652969472154547,0.0010202953650679802,0.03064059992990331,0.003891123700290988,0.0018284802119865606,-0.0006363745220850925,0.06263821959024418
2018-01-09,-0.00011475270511251967,0.0046757095740346255,-0.0012745384553195516,-0.002177482241133122,-0.0006792833857590663,-0.00027038263226009107,6.120534720821524e-05,0.0022631064037215154,-0.013372297896642626,-0.00808538113492141
2018-01-10,-0.00022953174961415357,0.0013012055442500614,-0.002381308223601275,-0.00015953989643413546,-0.0045344676208222134,0.007840262154366062,-0.002337247561962963,-0.0015294739306817018,-0.0012104562404362529,0.003326413914539472
2018-01-11,0.005680529684650937,0.01781828254348916,0.0017205359091712058,-0.00037275580008599984,0.002960687422187691,0.0017883509617420135,0.006843737263223737,0.007295940796143707,0.0041196336556439395,0.009408646715617364
2018-01-12,0.010326012828611564,0.022339231610462695,0.01672590233516269,-0.04473558212457163,0.017257139754310646,-0.0049092503556716904,0.007349317305653136,0.0065188676603564755,0.0016889852991981424,-0.005119110235858537
2018-01-16,-0.005081763347738133,-0.0002605871874575838,4.4223174358482e-05,-0.005463635691774993,-0.013951199861030106,-0.012870982316131485,-0.0028574045887592714,-0.0034184107000789776,0.0041761211716044855,0.011421116241414841
2018-01-17,0.01651584911137305,-0.00755630863716783,0.007429028685692396,-0.004428300294070597,0.020260597814528936,0.02094389854419565,0.010791121884075272,0.009531849392473202,-0.0013589238886719812,0.02087858455510405
2018-01-18,0.0008933099612442597,-0.0012972916415299185,-0.0027477670214473005,0.012387250090227564,-0.00044369591300597033,-0.0012457692212947125,0.00018080455697400133,-0.0016807392723132697,-0.009290195168454751,-0.007460532163804823
2018-01-19,-0.004462654389489118,0.0009741736041779525,0.006628548753041752,0.00828687343066048,-0.0011101020768637948,0.025262460791265484,0.003136129860610515,0.0045496356894252354,-0.005254134541145206,0.015816873268893028
2018-01-22,-0.008181005746592973,0.025282411609683475,0.018067339866659315,0.02250547355009247,0.017888950856072894,0.015558241204833845,0.01070110479688613,0.008131060945862245,0.0009751959793755649,0.004399674810198428
2018-01-23,0.0002257926992526027,0.02654236704761037,0.010316578867588744,0.021470628056708296,0.003165905720259099,0.022336991703400644,0.008267717741815117,0.0021220041379141907,0.004302494527563372,0.0034987229726255453
2018-01-24,-0.01592866450769448,-0.0036915667119321594,-0.004149072019646871,-0.014787511901407813,-0.0008710316470902368,-0.013017430930829743,-0.006489298768439733,-0.0003879838821458925,-0.005415565921249921,-0.019558338950656062
2018-01-25,-0.01785080680967066,0.015056912893923968,0.009263266652594693,0.00498526612075012,0.005554434849933898,0.0023325824450839416,-0.0003560790581541573,0.00042339716227179913,0.008208413755628197,-0.02385156263182675
2018-01-26,0.0023376529986782746,0.017489776074125496,0.004584860823139358,0.013441369138923465,0.018737390637639795,0.02953256240842994,0.0153251729511108,0.011578156934682893,-0.0037082749939969517,0.015430662178036458
2018-01-29,-0.020698463360055652,0.011147987016343786,-0.000909379983444758,-0.02115786760927907,-0.0014885705877798472,0.014465886455466315,-0.004856043641102259,-0.00663028377866226,-0.00695767071059139,0.019483745784611983
2018-01-30,-0.005894128189515291,0.014206254114237371,-0.007678122960963596,0.006129666057274941,-0.012563744923428044,-0.016731016731016735,-0.008230254822552463,-0.010256827481681774,-0.005867219616493391,-0.010614261699658623
2018-01-31,0.0027547953582685025,0.009090198056924459,0.00411923145400106,-0.0012290827861839437,0.024477054042128854,0.012689763159810408,0.004149563300546166,0.0004970886565218713,0.0059018470492744335,0.024550343604870628
2018-02-01,0.0020902943615173086,-0.04196737400527717,-0.0005329057247478453,0.03317464373011503,-0.00789383423939094,-0.021562235895391635,-0.008500703101753992,-0.001135374568138503,-0.014493520316025355,-0.014281293846785892
2018-02-02,-0.04338988128383281,0.02874097206609716,-0.052801681624845,-0.01455269928714309,-0.02631028563861848,-0.029022874865333392,-0.019945253660690554,-0.021769765779386163,-0.009278779729990583,-0.015747955382294898
2018-02-05,-0.024984791781878513,-0.027938006598856924,-0.05075945775639945,-0.047403907219972674,-0.04118512078841974,-0.08487493714313654,-0.039426740977804076,-0.041822844605974074,0.009449616424541007,-0.03089455173037159
2018-02-06,0.04179233475580468,0.03801436389950541,0.020745630307617002,0.022343582661643158,0.03784075770329465,0.05559167897039008,0.026499156534028456,0.019702181113273154,-0.006213241469672615,0.002521527021648984
2018-02-07,-0.02140742637418469,-0.018061620618718965,-0.02676053600519701,-0.027683431791842517,-0.01883270028822992,0.014274550993871982,-0.01293838565946659,-0.005424597533860376,-0.009503191829238644,0.03302687941110416
2018-02-08,-0.027516403421575908,-0.046782076355553315,-0.04519567460058893,-0.04772995507467692,-0.05133386922730376,-0.04930078940914906,-0.0421944816208607,-0.037508818878166816,-0.001093990783764598,-0.0862898619278617
2018-02-09,0.012231226409587181,-0.008071057484337008,0.03826492638999768,0.026401724747407762,0.03728973738791885,0.0669364759395139,0.017269296491943642,0.015021509334955052,-0.006319147406562253,-0.015258637910555595
2018-02-12,0.04027903929001142,0.0348088545167482,0.007923532944310363,0.0017034183371713585,0.010773326892808743,-0.017451150931062975,0.0177448618815641,0.014684246632919562,0.004409104825171539,0.017105860055229627
2018-02-13,0.010017360521494822,0.020400675986486094,-0.0003984236370986327,-0.018479693381312057,0.007853882063976192,0.02017291310047109,0.0051615433254699195,0.0024876702698410913,0.004474233964866237,0.025116342037434514
2018-02-14,0.018437609590500115,0.025832207585371192,0.0176067335475647,0.03678901932836798,0.01565817173446371,0.03778519837276817,0.018723731656957954,0.013495759784561079,-0.011093707067501124,-0.004171050736881843
2018-02-15,0.03357817846640754,0.007380856462852581,0.017395324535478762,0.002450781977547889,0.020372376659466784,0.021042396623002668,0.01856445184259581,0.012760316573608321,0.0033994269284627343,0.036486630791516594
2018-02-16,-0.0032373067922467635,-0.008941218962002284,0.0037935736561998112,-0.014447583691918009,-0.007122859139269244,-0.010790996211918813,-0.004466315127285236,0.0002929697917286589,0.005420590633696376,0.004250554934988271
2018-02-20,-0.003363757364198694,0.013570904563712238,0.007384752797071403,-0.007611662574048661,0.007825972355610888,0.021489388394826836,0.002000711633053376,-0.006261268003573517,-0.004380018060021085,-0.002146044443117834
2018-02-21,-0.004538292612341288,0.009922706887337096,0.009206279790132665,0.010794941973364391,-0.013266030621815417,-0.03039218943219546,-0.002843478188881199,-0.00497386145292511,-0.01226861690194847,-0.004391140631703427
2018-02-22,0.008358863167247321,0.001631842065593636,-0.003456854586945557,0.006070591184421881,0.0026237742500827554,0.0032735918200217373,-0.0001211155129436925,0.001296063072801168,0.0029978633059235538,0.03861385365210501
2018-02-23,0.017391499340090544,0.009869817359685173,0.016388824009265113,0.024023378733174727,0.025400327264945455,0.01560989255138745,0.020448728719185016,0.015939361031733323,0.008881895184183808,0.016985883239315713
2018-02-26,0.01977206861686276,0.014633382161458375,0.013837671527822115,0.008947724477812447,0.014458930796149794,0.0026432430741945012,0.013260449776627992,0.011611907755755047,0.0003387169190895989,0.015253507120131848
2018-02-27,-0.0032405638239597634,-0.006550867172796515,-0.022899452058314118,-0.018763921280344098,-0.012785576956254485,-0.0021087540144500982,-0.012382314445258835,-0.01248635603157755,-0.001438773904195445,-0.017990057260484416
2018-02-28,-0.001514124479089829,0.0003108313001467522,-0.012160848517672629,-0.017304027733225813,-0.004564738305592786,-0.01650019635816513,-0.006417721555313838,-0.010129994521100416,0.006355855861376769,-0.022593189478732012
2018-03-01,-0.017516167229092994,-0.012562358807392093,-0.02944965793637977,-0.013346775462824256,-0.00981149036464346,-0.040454616599949866,-0.016326676404193385,-0.014541019747642991,0.006826901514092265,-0.03535822749677753
2018-03-02,0.0069146715616916765,0.004553166629101657,0.01188161748181904,0.003864911564264384,0.002154288654672154,0.018646844481375657,0.009180641520314836,0.005155289780246486,-0.008129910838308607,0.012661277814635996
