,AAPL,AMZN,GOOGL,META,MSFT,NVDA,QQQ,SPY,TLT,TSLA
2018-01-02,40.26707077026367,59.45050048828125,53.22063064575195,180.00741577148438,78.69989013671875,4.92826509475708,150.22213745117188,236.5621795654297,99.09391021728516,21.368667602539062
2018-01-03,40.260066986083984,60.209999084472656,54.12862777709961,183.2321014404297,79.06613159179688,5.252614498138428,151.68179321289062,238.05850219726562,99.56768035888672,21.149999618530273
2018-01-04,40.44707107543945,60.47949981689453,54.33888626098633,182.89474487304688,79.76205444335938,5.280303478240967,151.94720458984375,239.06178283691406,99.55191040039062,20.974666595458984
2018-01-05,40.90757751464844,61.457000732421875,55.0594367980957,185.39512634277344,80.75096130371094,5.32504940032959,153.47320556640625,240.655029296875,99.26762390136719,21.10533332824707
2018-01-08,40.75563049316406,62.34349822998047,55.25382614135742,186.81394958496094,80.8333511352539,5.4882121086120605,154.0703887939453,241.09506225585938,99.20445251464844,22.42733383178711
2018-01-09,40.750953674316406,62.6349983215332,55.18340301513672,186.40716552734375,80.7784423828125,5.486728191375732,154.07981872558594,241.64068603515625,97.87786102294922,22.246000289916992
2018-01-10,40.741600036621094,62.71649932861328,55.05199432373047,186.37742614746094,80.41215515136719,5.529745578765869,153.71969604492188,241.27110290527344,97.75938415527344,22.31999969482422
2018-01-11,40.9730339050293,63.83399963378906,55.14671325683594,186.30795288085938,80.65023040771484,5.539634704589844,154.77171325683594,243.03140258789062,98.16211700439453,22.530000686645508
2018-01-12,41.396121978759766,65.26000213623047,56.069091796875,177.97335815429688,82.04202270507812,5.512439250946045,155.9091796875,244.61569213867188,98.32791137695312,22.4146671295166
2018-01-16,41.18575668334961,65.24299621582031,56.071571350097656,177.0009765625,80.8974380493164,5.441488742828369,155.46368408203125,243.7794952392578,98.73854064941406,22.67066764831543
2018-01-17,41.86597442626953,64.75,56.488128662109375,176.2171630859375,82.53646850585938,5.555454730987549,157.1413116455078,246.10316467285156,98.60436248779297,23.143999099731445
2018-01-18,41.90337371826172,64.66600036621094,56.33291244506836,178.40000915527344,82.49984741210938,5.548533916473389,157.1697235107422,245.6895294189453,97.68830871582031,22.971332550048828
2018-01-19,41.716373443603516,64.72899627685547,56.70631790161133,179.87838745117188,82.40826416015625,5.688703536987305,157.66262817382812,246.8073272705078,97.17504119873047,23.334667205810547
