Metric,Value
Annualized Return,0.34517761008338277
Annualized Volatility,0.29602905106585137
Sharpe Ratio,1.150414163443167
Max Drawdown,-0.4576092750835845
VaR 95%,0.030350866807850853
CVaR 95%,0.04317591569862888
VaR 99%,0.04975525472307685
CVaR 99%,0.06293276505606159
